index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
5531,1,2016-01-01 00:31:59,2016-01-01 00:54:29,1,1.8,-73.99823760986328,40.74040603637695,1,N,-73.9888687133789,40.75867080688477,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2016-01-01,Manhattan,Manhattan,12.00,17.50,7.53,1.73,1047
5532,1,2016-01-01 00:31:59,2016-01-01 00:38:21,2,1.3,-73.95175170898438,40.723365783691406,1,N,-73.96634674072266,40.71291732788085,1,6.5,0.5,0.5,2.0,0.0,0.3,9.8,2016-01-01,Brooklyn,Brooklyn,10.50,15.00,6.00,1.37,714
5533,1,2016-01-01 00:31:59,2016-01-01 00:40:46,1,2.2,-73.94815063476562,40.782020568847656,1,N,-73.97853088378906,40.783199310302734,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2016-01-01,Manhattan,Manhattan,13.50,19.50,8.37,2.27,1106
5534,1,2016-01-01 00:31:59,2016-01-01 00:44:40,1,1.9,-73.99473571777342,40.71863555908203,1,N,-73.99710083007811,40.73562622070313,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,2016-01-01,Manhattan,Manhattan,11.50,16.50,7.11,1.71,943
5535,1,2016-01-01 00:31:59,2016-01-01 00:47:36,1,2.0,-73.99465942382812,40.74553680419922,1,N,-73.98047637939453,40.72703552246094,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,2016-01-01,Manhattan,Manhattan,13.00,19.00,8.13,2.08,1103
5536,1,2016-01-01 00:31:59,2016-01-01 01:00:35,2,5.2,-74.00745391845702,40.74005508422852,1,N,-73.9514923095703,40.769378662109375,1,22.5,0.5,0.5,1.0,0.0,0.3,24.8,2016-01-01,Manhattan,Manhattan,24.50,37.00,15.57,5.2,2133
5537,1,2016-01-01 00:32:00,2016-01-01 00:38:40,2,0.7,-73.9971160888672,40.720645904541016,1,N,-73.98661041259766,40.7177963256836,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan,9.50,13.50,5.20,0.78,589
5538,1,2016-01-01 00:32:00,2016-01-01 00:44:19,1,2.7,-73.98355102539062,40.77359390258789,1,N,-73.94538879394531,40.77503967285156,1,11.0,0.5,0.5,2.0,0.0,0.3,14.3,2016-01-01,Manhattan,Manhattan,15.00,22.50,9.49,2.92,1208
5539,1,2016-01-01 00:32:01,2016-01-01 00:40:50,1,1.8,-73.99473571777342,40.73160171508789,1,N,-73.9783935546875,40.75122833251953,1,8.5,0.5,0.5,2.0,0.0,0.3,11.8,2016-01-01,Manhattan,Manhattan,15.00,22.00,9.35,2.38,1336
5540,1,2016-01-01 00:32:01,2016-01-01 00:42:38,1,6.3,-73.9925765991211,40.76353454589844,1,N,-73.94896697998048,40.83439254760742,2,18.5,0.5,0.5,0.0,0.0,0.3,19.8,2016-01-01,Manhattan,Manhattan,21.50,33.50,18.00,6.51,1240
